index	guard	arm_identity	assertion	ordinal	status	failure_kind	reason
1	test_T_THINK_02_00_aliases	"{""alias"": ""none"", ""arm"": ""aliases"", ""provider"": ""router"", ""tools"": false}"	legacy composite		PASS		assertions reached
2	test_T_THINK_02_00_aliases	"{""alias"": ""minimal"", ""arm"": ""aliases"", ""provider"": ""router"", ""tools"": false}"	legacy composite		PASS		assertions reached
3	test_T_THINK_02_00_aliases	"{""alias"": "" NONE "", ""arm"": ""aliases"", ""provider"": ""router"", ""tools"": false}"	legacy composite		PASS		assertions reached
4	test_T_THINK_02_00_aliases	"{""alias"": "" MiNiMaL "", ""arm"": ""aliases"", ""provider"": ""router"", ""tools"": false}"	legacy composite		PASS		assertions reached
5	test_T_THINK_02_00_aliases	"{""alias"": ""none"", ""arm"": ""aliases"", ""provider"": ""router"", ""tools"": true}"	legacy composite		PASS		assertions reached
6	test_T_THINK_02_00_aliases	"{""alias"": ""minimal"", ""arm"": ""aliases"", ""provider"": ""router"", ""tools"": true}"	legacy composite		PASS		assertions reached
7	test_T_THINK_02_00_aliases	"{""alias"": "" NONE "", ""arm"": ""aliases"", ""provider"": ""router"", ""tools"": true}"	legacy composite		PASS		assertions reached
8	test_T_THINK_02_00_aliases	"{""alias"": "" MiNiMaL "", ""arm"": ""aliases"", ""provider"": ""router"", ""tools"": true}"	legacy composite		PASS		assertions reached
9	test_T_THINK_02_00_aliases	"{""alias"": ""none"", ""arm"": ""aliases"", ""provider"": ""anthropic"", ""tools"": false}"	legacy composite		PASS		assertions reached
10	test_T_THINK_02_00_aliases	"{""alias"": ""minimal"", ""arm"": ""aliases"", ""provider"": ""anthropic"", ""tools"": false}"	legacy composite		PASS		assertions reached
11	test_T_THINK_02_00_aliases	"{""alias"": "" NONE "", ""arm"": ""aliases"", ""provider"": ""anthropic"", ""tools"": false}"	legacy composite		PASS		assertions reached
12	test_T_THINK_02_00_aliases	"{""alias"": "" MiNiMaL "", ""arm"": ""aliases"", ""provider"": ""anthropic"", ""tools"": false}"	legacy composite		PASS		assertions reached
13	test_T_THINK_02_00_aliases	"{""alias"": ""none"", ""arm"": ""aliases"", ""provider"": ""anthropic"", ""tools"": true}"	legacy composite		PASS		assertions reached
14	test_T_THINK_02_00_aliases	"{""alias"": ""minimal"", ""arm"": ""aliases"", ""provider"": ""anthropic"", ""tools"": true}"	legacy composite		PASS		assertions reached
15	test_T_THINK_02_00_aliases	"{""alias"": "" NONE "", ""arm"": ""aliases"", ""provider"": ""anthropic"", ""tools"": true}"	legacy composite		PASS		assertions reached
16	test_T_THINK_02_00_aliases	"{""alias"": "" MiNiMaL "", ""arm"": ""aliases"", ""provider"": ""anthropic"", ""tools"": true}"	legacy composite		PASS		assertions reached
17	test_T_THINK_02_00_aliases	"{""alias"": ""none"", ""arm"": ""aliases"", ""provider"": ""openai"", ""tools"": false}"	legacy composite		PASS		assertions reached
