index	guard	arm_identity	assertion	ordinal	status	failure_kind	reason
1	test_T_THINK_02_00_aliases	"{""alias"": ""none"", ""arm"": ""aliases"", ""provider"": ""router"", ""tools"": false}"	assertEqual	1	PASS		assertion satisfied
2	test_T_THINK_02_00_aliases	"{""alias"": ""none"", ""arm"": ""aliases"", ""provider"": ""router"", ""tools"": false}"	assertEqual	2	PASS		assertion satisfied
3	test_T_THINK_02_00_aliases	"{""alias"": ""none"", ""arm"": ""aliases"", ""provider"": ""router"", ""tools"": false}"	assertFalse	3	PASS		assertion satisfied
4	test_T_THINK_02_00_aliases	"{""alias"": ""none"", ""arm"": ""aliases"", ""provider"": ""router"", ""tools"": false}"	assertEqual	4	PASS		assertion satisfied
5	test_T_THINK_02_00_aliases	"{""alias"": ""none"", ""arm"": ""aliases"", ""provider"": ""router"", ""tools"": false}"	assertIsNotNone	5	PASS		assertion satisfied
6	test_T_THINK_02_00_aliases	"{""alias"": ""none"", ""arm"": ""aliases"", ""provider"": ""router"", ""tools"": false}"	assertEqual	6	PASS		assertion satisfied
7	test_T_THINK_02_00_aliases	"{""alias"": ""none"", ""arm"": ""aliases"", ""provider"": ""router"", ""tools"": false}"	assertEqual	7	PASS		assertion satisfied
8	test_T_THINK_02_00_aliases	"{""alias"": ""minimal"", ""arm"": ""aliases"", ""provider"": ""router"", ""tools"": false}"	assertEqual	1	PASS		assertion satisfied
9	test_T_THINK_02_00_aliases	"{""alias"": ""minimal"", ""arm"": ""aliases"", ""provider"": ""router"", ""tools"": false}"	assertEqual	2	PASS		assertion satisfied
10	test_T_THINK_02_00_aliases	"{""alias"": ""minimal"", ""arm"": ""aliases"", ""provider"": ""router"", ""tools"": false}"	assertFalse	3	PASS		assertion satisfied
11	test_T_THINK_02_00_aliases	"{""alias"": ""minimal"", ""arm"": ""aliases"", ""provider"": ""router"", ""tools"": false}"	assertEqual	4	PASS		assertion satisfied
12	test_T_THINK_02_00_aliases	"{""alias"": ""minimal"", ""arm"": ""aliases"", ""provider"": ""router"", ""tools"": false}"	assertIsNotNone	5	PASS		assertion satisfied
13	test_T_THINK_02_00_aliases	"{""alias"": ""minimal"", ""arm"": ""aliases"", ""provider"": ""router"", ""tools"": false}"	assertEqual	6	PASS		assertion satisfied
14	test_T_THINK_02_00_aliases	"{""alias"": ""minimal"", ""arm"": ""aliases"", ""provider"": ""router"", ""tools"": false}"	assertEqual	7	PASS		assertion satisfied
15	test_T_THINK_02_00_aliases	"{""alias"": "" NONE "", ""arm"": ""aliases"", ""provider"": ""router"", ""tools"": false}"	assertEqual	1	PASS		assertion satisfied
16	test_T_THINK_02_00_aliases	"{""alias"": "" NONE "", ""arm"": ""aliases"", ""provider"": ""router"", ""tools"": false}"	assertEqual	2	PASS		assertion satisfied
17	test_T_THINK_02_00_aliases	"{""alias"": "" NONE "", ""arm"": ""aliases"", ""provider"": ""router"", ""tools"": false}"	assertFalse	3	PASS		assertion satisfied
18	test_T_THINK_02_00_aliases	"{""alias"": "" NONE "", ""arm"": ""aliases"", ""provider"": ""router"", ""tools"": false}"	assertEqual	4	PASS		assertion satisfied
19	test_T_THINK_02_00_aliases	"{""alias"": "" NONE "", ""arm"": ""aliases"", ""provider"": ""router"", ""tools"": false}"	assertIsNotNone	5	PASS		assertion satisfied
20	test_T_THINK_02_00_aliases	"{""alias"": "" NONE "", ""arm"": ""aliases"", ""provider"": ""router"", ""tools"": false}"	assertEqual	6	PASS		assertion satisfied
21	test_T_THINK_02_00_aliases	"{""alias"": "" NONE "", ""arm"": ""aliases"", ""provider"": ""router"", ""tools"": false}"	assertEqual	7	PASS		assertion satisfied
22	test_T_THINK_02_00_aliases	"{""alias"": "" MiNiMaL "", ""arm"": ""aliases"", ""provider"": ""router"", ""tools"": false}"	assertEqual	1	PASS		assertion satisfied
23	test_T_THINK_02_00_aliases	"{""alias"": "" MiNiMaL "", ""arm"": ""aliases"", ""provider"": ""router"", ""tools"": false}"	assertEqual	2	PASS		assertion satisfied
24	test_T_THINK_02_00_aliases	"{""alias"": "" MiNiMaL "", ""arm"": ""aliases"", ""provider"": ""router"", ""tools"": false}"	assertFalse	3	PASS		assertion satisfied
25	test_T_THINK_02_00_aliases	"{""alias"": "" MiNiMaL "", ""arm"": ""aliases"", ""provider"": ""router"", ""tools"": false}"	assertEqual	4	PASS		assertion satisfied
26	test_T_THINK_02_00_aliases	"{""alias"": "" MiNiMaL "", ""arm"": ""aliases"", ""provider"": ""router"", ""tools"": false}"	assertIsNotNone	5	PASS		assertion satisfied
27	test_T_THINK_02_00_aliases	"{""alias"": "" MiNiMaL "", ""arm"": ""aliases"", ""provider"": ""router"", ""tools"": false}"	assertEqual	6	PASS		assertion satisfied
